geography,count,total,industryName,id
E06000008,11607,63561,Wholesale and retail trade; repair of motor vehicles and motorcycles,245
E06000008,3131,63561,Transport and storage,246
E06000008,2689,63561,Accommodation and food service activities,247
E06000008,1930,63561,Information and communication,248
E06000008,1001,63561,Financial and insurance activities,249
E06000008,756,63561,Real estate activities,250
E06000008,2653,63561,"Professional, scientific and technical activities",251
E06000008,3138,63561,Administrative and support service activities,252
E06000008,3950,63561,Public administration and defence; compulsory social security,253
E06000008,6378,63561,Education,254
E06000008,11420,63561,Human health and social work activities,255
E06000009,105,59359,"Agriculture, Forestry and fishing",256
E06000009,53,59359,Mining and quarrying,257
E06000009,4004,59359,Manufacturing,258
E06000009,350,59359,"Electricity, gas, steam and air conditioning supply",259
E06000009,286,59359,"Water supply; Sewerage, Waste management and Remediation activities",260
E06000009,4683,59359,Construction,261
E06000009,9266,59359,Wholesale and retail trade; repair of motor vehicles and motorcycles,262
E06000009,2580,59359,Transport and storage,263
E06000009,5946,59359,Accommodation and food service activities,264
E06000009,1019,59359,Information and communication,265
E06000009,1077,59359,Financial and insurance activities,266
E06000009,642,59359,Real estate activities,267
E06000009,1984,59359,"Professional, scientific and technical activities",268
E06000009,2787,59359,Administrative and support service activities,269
E06000009,5545,59359,Public administration and defence; compulsory social security,270
E06000009,3920,59359,Education,271
E06000009,12140,59359,Human health and social work activities,272
E06000049,2765,192485,"Agriculture, Forestry and fishing",273
E06000049,280,192485,Mining and quarrying,274
E06000049,19113,192485,Manufacturing,275
E06000049,876,192485,"Electricity, gas, steam and air conditioning supply",276
E06000049,1133,192485,"Water supply; Sewerage, Waste management and Remediation activities",277
E06000049,13406,192485,Construction,278
E06000049,30000,192485,Wholesale and retail trade; repair of motor vehicles and motorcycles,279
E06000049,9797,192485,Transport and storage,280
E06000049,8105,192485,Accommodation and food service activities,281
E06000049,9476,192485,Information and communication,282
E06000049,8196,192485,Financial and insurance activities,283
E06000049,3190,192485,Real estate activities,284
E06000049,15702,192485,"Professional, scientific and technical activities",285
E06000049,9998,192485,Administrative and support service activities,286
E06000049,7422,192485,Public administration and defence; compulsory social security,287
E06000049,17293,192485,Education,288
E06000049,27137,192485,Human health and social work activities,289
E06000050,2137,169088,"Agriculture, Forestry and fishing",290
E06000050,441,169088,Mining and quarrying,291
E06000050,16052,169088,Manufacturing,292
E06000050,1018,169088,"Electricity, gas, steam and air conditioning supply",293
E06000050,1410,169088,"Water supply; Sewerage, Waste management and Remediation activities",294
E06000050,11795,169088,Construction,295
E06000050,27325,169088,Wholesale and retail trade; repair of motor vehicles and motorcycles,296
E06000050,7422,169088,Transport and storage,297
E06000050,8986,169088,Accommodation and food service activities,298
E06000050,6241,169088,Information and communication,299
E06000050,7500,169088,Financial and insurance activities,300
E06000050,2639,169088,Real estate activities,301
E06000050,12304,169088,"Professional, scientific and technical activities",302
E06000050,8674,169088,Administrative and support service activities,303
E06000050,8310,169088,Public administration and defence; compulsory social security,304
E06000050,15657,169088,Education,305
E06000050,23563,169088,Human health and social work activities,306
E07000026,1665,44236,"Agriculture, Forestry and fishing",307
E07000026,83,44236,Mining and quarrying,308
E07000026,3784,44236,Manufacturing,309
E07000026,365,44236,"Electricity, gas, steam and air conditioning supply",310
E07000026,3024,44236,"Water supply; Sewerage, Waste management and Remediation activities",311
E07000026,4590,44236,Construction,312
E07000026,6031,44236,Wholesale and retail trade; repair of motor vehicles and motorcycles,313
E07000026,1625,44236,Transport and storage,314
E07000026,3322,44236,Accommodation and food service activities,315
E07000026,722,44236,Information and communication,316
E07000026,422,44236,Financial and insurance activities,317
E07000026,471,44236,Real estate activities,318
E07000026,1931,44236,"Professional, scientific and technical activities",319
E07000026,2102,44236,Administrative and support service activities,320
E07000026,2707,44236,Public administration and defence; compulsory social security,321
E07000026,3738,44236,Education,322
E07000026,5880,44236,Human health and social work activities,323
E07000027,139,31190,"Agriculture, Forestry and fishing",324
E07000027,205,31190,Mining and quarrying,325
E07000027,5581,31190,Manufacturing,326
E07000027,477,31190,"Electricity, gas, steam and air conditioning supply",327
